arv;hi;dicc;dap;ht
5;0;22,5;15,5;24,3
5;0,2;16,8;15,5;24,3
5;0,5;16,5;15,5;24,3
5;0,7;16,2;15,5;24,3
5;1;15,7;15,5;24,3
5;1,2;15,6;15,5;24,3
5;2,4;14,4;15,5;24,3
5;3,6;14,1;15,5;24,3
5;6,1;13;15,5;24,3
5;8,5;12,2;15,5;24,3
5;10,9;11,8;15,5;24,3
5;13,4;11,3;15,5;24,3
5;15,8;10,2;15,5;24,3
5;18,2;8,6;15,5;24,3
5;20,6;6,3;15,5;24,3
5;23,1;3,5;15,5;24,3
5;24,3;0;15,5;24,3
27;0;21,5;17,9;20
27;0,2;19,6;17,9;20
27;0,4;19,1;17,9;20
27;0,6;18,8;17,9;20
27;0,8;18,5;17,9;20
27;1;18,2;17,9;20
27;2;16,5;17,9;20
27;3;15,8;17,9;20
27;5;14;17,9;20
27;7;13,2;17,9;20
27;9;11,7;17,9;20
27;11;10;17,9;20
27;13;8,4;17,9;20
27;15;6,5;17,9;20
27;17;4,5;17,9;20
27;19;2;17,9;20
27;20;0;17,9;20
6;0;27;19,5;23,6
6;0,2;23,3;19,5;23,6
6;0,5;21,3;19,5;23,6
6;0,7;20,8;19,5;23,6
6;0,9;20;19,5;23,6
6;1,2;19,6;19,5;23,6
6;2,4;18,6;19,5;23,6
6;3,5;18,3;19,5;23,6
6;5,9;16,8;19,5;23,6
6;8,3;15,9;19,5;23,6
6;10,6;14;19,5;23,6
6;13;13,4;19,5;23,6
6;15,3;11,8;19,5;23,6
6;17,7;10,4;19,5;23,6
6;20,1;7,5;19,5;23,6
6;22,4;3,9;19,5;23,6
6;23,6;0;19,5;23,6
47;0;25,5;19,6;29,3
47;0,3;22,3;19,6;29,3
47;0,6;21,3;19,6;29,3
47;0,9;20,1;19,6;29,3
47;1,2;19,8;19,6;29,3
47;1,5;19,2;19,6;29,3
47;2,9;18,5;19,6;29,3
47;4,4;17,6;19,6;29,3
47;7,3;16,2;19,6;29,3
47;10,3;14,6;19,6;29,3
47;13,2;13,5;19,6;29,3
47;16,1;12,7;19,6;29,3
47;19;10,8;19,6;29,3
47;22;9,3;19,6;29,3
47;24,9;6,8;19,6;29,3
47;27,8;3;19,6;29,3
47;29,3;0;19,6;29,3
1;0;28;21,5;21,4
1;0,2;24,3;21,5;21,4
1;0,4;22,5;21,5;21,4
1;0,6;21,8;21,5;21,4
1;0,9;21,6;21,5;21,4
1;1,1;21,5;21,5;21,4
1;2,1;20,5;21,5;21,4
1;3,2;20,2;21,5;21,4
1;5,3;18,6;21,5;21,4
1;7,5;17,7;21,5;21,4
1;9,6;16,8;21,5;21,4
1;11,8;15,3;21,5;21,4
1;13,9;15,1;21,5;21,4
1;16;11,1;21,5;21,4
1;18,2;7,5;21,5;21,4
1;20,3;4;21,5;21,4
1;21,4;0;21,5;21,4
36;0;30;22;28,9
36;0,3;25;22;28,9
36;0,6;23,3;22;28,9
36;0,9;23,1;22;28,9
36;1,2;22,7;22;28,9
36;1,4;21,4;22;28,9
36;2,9;19,8;22;28,9
36;4,3;19,7;22;28,9
36;7,2;17;22;28,9
36;10,1;15,8;22;28,9
36;13;13,8;22;28,9
36;15,9;12,6;22;28,9
36;18,8;11;22;28,9
36;21,7;9,4;22;28,9
36;24,6;5,8;22;28,9
36;27,5;4;22;28,9
36;28,9;0;22;28,9
4;0;28,3;22,7;24,5
4;0,3;25;22,7;24,5
4;0,5;23,8;22,7;24,5
4;0,7;23,5;22,7;24,5
4;1;23,2;22,7;24,5
4;1,2;22,5;22,7;24,5
4;2,5;20,5;22,7;24,5
4;3,7;20;22,7;24,5
4;6,1;19,7;22,7;24,5
4;8,6;17,5;22,7;24,5
4;11;15,8;22,7;24,5
4;13,5;14,6;22,7;24,5
4;15,9;13;22,7;24,5
4;18,4;11,4;22,7;24,5
4;20,8;7,6;22,7;24,5
4;23,3;3,6;22,7;24,5
4;24,5;0;22,7;24,5
22;0;29,7;24,5;25
22;0,3;27,7;24,5;25
22;0,5;26;24,5;25
22;0,8;25,2;24,5;25
22;1;25;24,5;25
22;1,3;25,2;24,5;25
22;2,5;23,5;24,5;25
22;3,8;22;24,5;25
22;6,3;21,3;24,5;25
22;8,8;20;24,5;25
22;11,3;18,5;24,5;25
22;13,8;16,5;24,5;25
22;16,3;14,3;24,5;25
22;18,8;12;24,5;25
22;21,3;8,3;24,5;25
22;23,8;3,7;24,5;25
22;25;0;24,5;25
3;0;35;26,8;23,5
3;0,2;31,5;26,8;23,5
3;0,5;29,8;26,8;23,5
3;0,7;29,3;26,8;23,5
3;0,9;28,8;26,8;23,5
3;1,2;27,5;26,8;23,5
3;2,3;24;26,8;23,5
3;3,5;22,7;26,8;23,5
3;5,9;21,6;26,8;23,5
3;8,2;19,8;26,8;23,5
3;10,6;19,3;26,8;23,5
3;12,9;18,8;26,8;23,5
3;15,3;15,8;26,8;23,5
3;17,6;14;26,8;23,5
3;20;8,8;26,8;23,5
3;22,3;2,6;26,8;23,5
3;23,5;0;26,8;23,5
7;0;37,5;27,8;28,3
7;0,3;33,8;27,8;28,3
7;0,6;30,8;27,8;28,3
7;0,9;29,5;27,8;28,3
7;1,1;28,3;27,8;28,3
7;1,4;27,5;27,8;28,3
7;2,8;26,7;27,8;28,3
7;4,2;24,8;27,8;28,3
7;7,1;24,2;27,8;28,3
7;9,9;21,8;27,8;28,3
7;12,7;21,3;27,8;28,3
7;15,6;19,5;27,8;28,3
7;18,4;16,6;27,8;28,3
7;21,2;13,1;27,8;28,3
7;24;9,3;27,8;28,3
7;26,9;3;27,8;28,3
7;28,3;0;27,8;28,3
37;0;37,3;27,8;26,9
37;0,3;31,8;27,8;26,9
37;0,5;29,3;27,8;26,9
37;0,8;28,2;27,8;26,9
37;1,1;28;27,8;26,9
37;1,3;27,2;27,8;26,9
37;2,7;25,3;27,8;26,9
37;4;23,9;27,8;26,9
37;6,7;21,3;27,8;26,9
37;9,4;20,2;27,8;26,9
37;12,1;18,7;27,8;26,9
37;14,8;16,1;27,8;26,9
37;17,5;13;27,8;26,9
37;20,2;12,3;27,8;26,9
37;22,9;8,5;27,8;26,9
37;25,5;4;27,8;26,9
37;26,9;0;27,8;26,9
23;0;38;28;25
23;0,3;31,5;28;25
23;0,5;31,2;28;25
23;0,8;29;28;25
23;1;28,7;28;25
23;1,3;28,2;28;25
23;2,5;26,5;28;25
23;3,8;25,7;28;25
23;6,3;25,2;28;25
23;8,8;24,3;28;25
23;11,3;20,2;28;25
23;13,8;18,5;28;25
23;16,3;16,7;28;25
23;18,8;14;28;25
