"talhao";"area";"parcela";"areaparc";"cova";"fuste";"dap";"htest";"htre";"haprov_total"
7;53,54;98;800;9497;9497;38,83;19,6;19,6;1
7;53,54;98;800;9499;9499;32,98;18,6;18,6;1
7;53,54;98;800;9501;9501;22,44;14,7;14,7;1
7;53,54;98;800;9503;9503;22,6;15,3;15,3;1
7;53,54;98;800;9504;9504;25,62;15,3;15,3;1
7;53,54;98;800;9509;9509;29,6;19,6;19,6;1
7;53,54;98;800;9510;9510;23,55;17,4;17,4;1
7;53,54;98;800;9521;9521;23,4;14,1;14,1;1
7;53,54;98;800;9523;9523;37,24;19,5;19,5;1
7;53,54;98;800;9526;9526;24,19;15,5;15,5;1
7;53,54;98;800;9537;9537;28,11;16,8;16,8;1
7;53,54;98;800;9538;9538;25,69;17;17;1
7;53,54;98;800;9548;9548;5,47;5,1;5,1;1
7;53,54;98;800;9553;9553;21,84;14,6;14,6;1
7;53,54;98;800;9555;9555;28,33;15,9;15,9;1
7;53,54;98;800;9557;9557;6,78;5,3;5,3;1
7;53,54;98;800;9558;9558;28,97;17,9;17,9;1
7;53,54;98;800;9561;9561;29,6;17,64;17,64;1
7;53,54;98;800;9563;9563;22,35;14,92;14,92;1
7;53,54;98;800;9564;9564;26,2;16,49;16,49;1
7;53,54;98;800;9567;9567;32,15;18,37;18,37;1
7;53,54;98;800;9571;9571;28,17;17,18;17,18;1
7;53,54;98;800;9578;9578;22,12;14,81;14,81;1
7;53,54;98;800;9579;9579;23,4;15,38;15,38;1
7;53,54;98;800;9587;9587;24,57;15,87;15,87;1
7;53,54;98;800;9588;9588;28,33;17,23;17,23;1
14;27,57;142;800;13302;13302;27,34;20,5;20,5;1
14;27,57;142;800;13304;13304;31,7;18,1;18,1;1
14;27,57;142;800;13305;13305;28,62;20;20;1
14;27,57;142;800;13315;13315;30,81;19,6;19,6;1
14;27,57;142;800;13317;13317;34,15;20,8;20,8;1
14;27,57;142;800;13321;13321;32,69;20,9;20,9;1
14;27,57;142;800;13324;13324;29,44;19,1;19,1;1
14;27,57;142;800;13327;13327;23,87;17,8;17,8;1
