"idarvore";"dap";"ht";"hi";"dicc";"vcc"
27821;17,3;22,1;0,1;20;0,00314159265358979
27821;17,3;22,1;0,7;18,1;0,0202854993836783
27821;17,3;22,1;1,3;17,3;0,0350564826426941
27821;17,3;22,1;2;16,4;0,0506770703649651
27821;17,3;22,1;4;15,9;0,0916567903365538
27821;17,3;22,1;6;13,7;0,126253579434211
27821;17,3;22,1;8;12,8;0,153862681072122
27821;17,3;22,1;10;11,6;0,177298962267902
27821;17,3;22,1;12;10,2;0,196038562446565
27821;17,3;22,1;14;8,9;0,210430983790823
27821;17,3;22,1;16;7,7;0,221308748353878
27821;17,3;22,1;18;6;0,228792807452892
27821;17,3;22,1;20;4,4;0,23314077168546
27821;17,3;22,1;21,8;3;0,235145421957716
27821;17,3;22,1;22,1;0;0,235216107792422
27825;14,2;21,3;0,1;16,7;0,00219039693789914
27825;14,2;21,3;0,7;15,5;0,0144223450142837
27825;14,2;21,3;1,3;14,2;0,0248341328469946
27825;14,2;21,3;2;13,5;0,0353868603801273
27825;14,2;21,3;4;12,2;0,0613906081720534
27825;14,2;21,3;6;11,8;0,0840163584632071
27825;14,2;21,3;8;10,1;0,10296408915517
27825;14,2;21,3;10;8,8;0,117058059197338
27825;14,2;21,3;12;7,8;0,127918545000798
27825;14,2;21,3;14;7,2;0,13676841150596
27825;14,2;21,3;16;5,8;0,143481995006681
27825;14,2;21,3;18;5;0,148087569836844
27825;14,2;21,3;19,5272727272727;3;0,150126749068356
27825;14,2;21,3;21,3;0;0,150544438091617
27834;21;23,3;0,1;24,4;0,00467594650560305
27834;21;23,3;0,7;21,8;0,0299013647176023
27834;21;23,3;1,3;21;0,0514897611145406
27834;21;23,3;2;19,6;0,074172531312357
27834;21;23,3;4;18,3;0,130646586251451
27834;21;23,3;6;16,1;0,177307091138893
27834;21;23,3;8;14,2;0,213502165499064
27834;21;23,3;10;13,6;0,24386565849601
27834;21;23,3;12;11,7;0,269143698384957
27834;21;23,3;14;10,2;0,288066296335691
27834;21;23,3;16;9,5;0,30332579725234
27834;21;23,3;18;7,6;0,314950475468786
27834;21;23,3;20;5,5;0,321862764704847
27834;21;23,3;21,604347826087;3;0,324335616433113
27834;21;23,3;23,3;0;0,324735145064059
27835;10,8;16,9;0,1;14,6;0,001674154725098
27835;10,8;16,9;0,7;11;0,00954761423352474
27835;10,8;16,9;1,3;10,8;0,0151468748200178
27835;10,8;16,9;2;9,8;0,0209932216687158
27835;10,8;16,9;4;8;0,0335627338757285
27835;10,8;16,9;6;7,2;0,0426607862005246
27835;10,8;16,9;8;6,3;0,0498495355901014
27835;10,8;16,9;10;5,6;0,0554297895410403
27835;10,8;16,9;12;4,3;0,0593449993855765
27835;10,8;16,9;14;3,2;0,0616014483090174
27835;10,8;16,9;14,8230769230769;3;0,0622233265747955
27835;10,8;16,9;16,9;0;0,0627126900458355
27836;9;17,3;0,1;10,3;0,000833228911548353
27836;9;17,3;0,7;9,5;0,005459381173592
27836;9;17,3;1,3;9;0,0094943642380464
27836;9;17,3;2;8,5;0,0137070436369695
27836;9;17,3;4;7,7;0,0240381710782995
27836;9;17,3;6;6,8;0,0323264778966328
27836;9;17,3;8;5,8;0,0386002384258516
27836;9;17,3;10;4,8;0,0430518752159883
27836;9;17,3;12;4;0,0461180696458919
27836;9;17,3;14;3,1;0,0481294743423528
27836;9;17,3;15,1333333333333;3;0,048957729065533
27836;9;17,3;17,3;0;0,0494682378717413
27837;13,8;21,6;0,1;17,2;0,00232352192659501
27837;13,8;21,6;0,7;14,9;0,0145250750940561
27837;13,8;21,6;1,3;13,8;0,0242431992688544
27837;13,8;21,6;2;13,2;0,0342678643468267
27837;13,8;21,6;4;12,5;0,060224488248949
27837;13,8;21,6;6;11,5;0,0828832252629654
27837;13,8;21,6;8;10,6;0,10209484973783
27837;13,8;21,6;10;9,7;0,118309394821171
27837;13,8;21,6;12;8,6;0,131508010957065
27837;13,8;21,6;14;7,5;0,141734680442663
27837;13,8;21,6;16;6,8;0,149784226219323
27837;13,8;21,6;18;5,3;0,155622090767857
27837;13,8;21,6;19,6;3;0,15795252419829
27837;13,8;21,6;21,6;0;0,158423763096328
27917;13,6;15,3;0,1;17,3;0,00235061816323222
27917;13,6;15,3;0,7;15,1;0,0147748317100165
27917;13,6;15,3;1,3;13,6;0,0245052080961638
27917;13,6;15,3;2;12,9;0,0341639954397174
27917;13,6;15,3;4;11,3;0,0572625554252364
27917;13,6;15,3;6;9,3;0,0740842132888829
27917;13,6;15,3;8;8;0,0859036702498511
27917;13,6;15,3;10;6,4;0,0941472093728707
27917;13,6;15,3;12;4;0,0986208373115826
27917;13,6;15,3;13,4428571428571;3;0,100037358999139
27917;13,6;15,3;15,3;0;0,100474937975889
35520;19;28,1;0,1;22,7;0,00404707819617071
35520;19;28,1;0,7;20,4;0,0259938517750673
35520;19;28,1;1,3;19;0,0443052528750461
35520;19;28,1;2;18,4;0,0635354127465673
35520;19;28,1;4;17,2;0,113361072232501
35520;19;28,1;6;16,6;0,158238723289032
35520;19;28,1;8;15;0,197552613756054
35520;19;28,1;10;13,2;0,228908850031534
35520;19;28,1;12;13;0,255866856591988
35520;19;28,1;14;12;0,280449819106328
35520;19;28,1;16;10,9;0,301090868238576
35520;19;28,1;18;10,2;0,318593466309889
35520;19;28,1;20;8,5;0,332439250532422
35520;19;28,1;22;7,3;0,342299139075714
35520;19;28,1;24;6;0,34931195927669
35520;19;28,1;25,85;3;0,352581179131832
35520;19;28,1;28,1;0;0,353111322892125
35522;11,5;21;0,1;13,1;0,00134782178820636
35522;11,5;21;0,7;12,6;0,00913198152545481
35522;11,5;21;1,3;11,5;0,0159887431113636
35522;11,5;21;2;11,1;0,0230110666301165
35522;11,5;21;4;10,8;0,0418488415792043
35522;11,5;21;6;10;0,0588637073910466
35522;11,5;21;8;9,4;0,0736574671968009
35522;11,5;21;10;8;0,0856237936143245
35522;11,5;21;12;7;0,0944987928607156
35522;11,5;21;14;6;0,101174677249594
35522;11,5;21;16;4,3;0,105454311841947
35522;11,5;21;18;3;0,107613371393126
35522;11,5;21;18,6923076923077;3;0,108102734864166
35522;11,5;21;21;0;0,108809593211224
35522;11,5;21;21;0;0,108646472054211
35523;10,4;18,8;0,1;12,3;0,001188228881404
35523;10,4;18,8;0,7;11,4;0,00781502588506997
35523;10,4;18,8;1,3;10,4;0,013425596205116
35523;10,4;18,8;2;10;0,0191476930643644
35523;10,4;18,8;4;9,5;0,0340898931230009
35523;10,4;18,8;6;8,3;0,0465887194953079
35523;10,4;18,8;8;7,5;0,0564171921120635
35523;10,4;18,8;10;6,4;0,0640520476584501
35523;10,4;18,8;12;5,6;0,0697320471761405
35523;10,4;18,8;14;4,7;0,0739300003594998
35523;10,4;18,8;16;3,8;0,0767990598503907
35523;10,4;18,8;17,3;3;0,0779956924921431
35523;10,4;18,8;18,8;0;0,0783491216656719
35524;13,3;23;0,1;15,8;0,00196066797510539
35524;13,3;23;0,7;14,1;0,012527022166373
35524;13,3;23;1,3;13,3;0,0213792448660256
35524;13,3;23;2;13,2;0,0310314348650067
35524;13,3;23;4;12;0,0560259460169671
35524;13,3;23;6;11,3;0,0773644287183124
35524;13,3;23;8;10,4;0,0958880444020412
35524;13,3;23;10;9,4;0,111322689109128
35524;13,3;23;12;8,5;0,123936969011454
35524;13,3;23;14;7,4;0,133912311084765
35524;13,3;23;16;6,4;0,141430142304806
35524;13,3;23;18;5;0,146610628590575
35524;13,3;23;20;3,8;0,149708238947015
35524;13,3;23;21,125;3;0,150743786425454
35524;13,3;23;23;0;0,151185572892365
35525;9,9;19,1;0,1;11,5;0,00103868907109313
35525;9,9;19,1;0,7;10,3;0,00665444301901756
35525;9,9;19,1;1,3;9,9;0,0114634359735001
35525;9,9;19,1;2;9,4;0,0165865489234335
35525;9,9;19,1;4;8;0,028552875340957
35525;9,9;19,1;6;7,1;0,0375386157283873
35525;9,9;19,1;8;6,2;0,0445168784101736
35525;9,9;19,1;10;5,5;0,0499117783945507
35525;9,9;19,1;12;4,9;0,0541733488291452
35525;9,9;19,1;14;3,9;0,05725368042599
35525;9,9;19,1;16;3;0,0591551293795752
35525;9,9;19,1;16,9;3;0,0597913018919272
35525;9,9;19,1;19,1;0;0,0605217221838868
35525;9,9;19,1;19,1;0;0,0603096646797695
35542;16,2;22,6;0,1;21;0,00346360590058275
35542;16,2;22,6;0,7;17,6;0,0211529716551508
35542;16,2;22,6;1,3;16,2;0,0346351165280314
35542;16,2;22,6;2;15;0,0480343233548572
35542;16,2;22,6;4;13,8;0,0806629046550408
35542;16,2;22,6;6;12,7;0,108287714256219
35542;16,2;22,6;8;11,5;0,131342291944588
35542;16,2;22,6;10;10,6;0,150553916419453
35542;16,2;22,6;12;9,5;0,166466868608049
35542;16,2;22,6;14;7,8;0,178333449458821
35542;16,2;22,6;16;6,5;0,186430119125285
35542;16,2;22,6;18;5,7;0,192300184998518
35542;16,2;22,6;20;3,7;0,195927153717087
35542;16,2;22,6;21,1;3;0,196907291355099
35542;16,2;22,6;22,6;0;0,197260720528628
35543;14,5;22,3;0,1;18,8;0,00277591126871194
35543;14,5;22,3;0,7;16,4;0,0174408657756691
35543;14,5;22,3;1,3;14,5;0,0287319853921198
35543;14,5;22,3;2;13,8;0,0397465270453302
35543;14,5;22,3;4;12,8;0,0675716131781749
35543;14,5;22,3;6;11,8;0,0913754607144248
35543;14,5;22,3;8;10,5;0,110970359493028
35543;14,5;22,3;10;9,5;0,126717592669147
35543;14,5;22,3;12;8,5;0,139480312824355
35543;14,5;22,3;14;7,2;0,149226318633954
35543;14,5;22,3;16;6,2;0,156316893253106
35543;14,5;22,3;18;4,5;0,160926395074086
35543;14,5;22,3;20;3,1;0,163271593989991
35543;14,5;22,3;21,4818181818182;3;0,164354525967625
35543;14,5;22,3;22,3;0;0,164547305516822
35545;9,3;18,1;0,1;12,8;0,00128679635091038
35545;9,3;18,1;0,7;10,1;0,00755073940308673
35545;9,3;18,1;1,3;9,3;0,0119921660170993
35545;9,3;18,1;2;8,6;0,0164027657531985
35545;9,3;18,1;4;7,9;0,0271132405074495
35545;9,3;18,1;6;6,8;0,0356465915527628
35545;9,3;18,1;8;6,5;0,0425965799006668
35545;9,3;18,1;10;5,3;0,0481210705820045
35545;9,3;18,1;12;4,2;0,051712696383221
35545;9,3;18,1;14;3,2;0,0539023864627731
35545;9,3;18,1;14,95;3;0,054620161844302
35545;9,3;18,1;18,1;0;0,0553623631087126
35546;11,8;20,2;0,1;15,4;0,00186265028431339
35546;11,8;20,2;0,7;13,7;0,0118729425758956
35546;11,8;20,2;1,3;11,8;0,0195760492226814
35546;11,8;20,2;2;11,2;0,0268518207287627
35546;11,8;20,2;4;10,2;0,0448751377824073
35546;11,8;20,2;6;9,3;0,0598393289896189
35546;11,8;20,2;8;8,5;0,07230673943539
35546;11,8;20,2;10;7,9;0,0828829111037
35546;11,8;20,2;12;6,5;0,0911028882818177
35546;11,8;20,2;14;5;0,0963846909306656
35546;11,8;20,2;16;3,9;0,0995427769456867
35546;11,8;20,2;16,9;3;0,1003984289748
