"idamostra";"idade1";"hdom1";"licl5";"lscl5";"lscl4";"lscl3";"lscl2";"lscl1";"is";"nmudou";"nis"
1;24,01;11,6;7,01779941975093;8,72483869160584;10,6480579263046;12,7938645167677;15,1683308831169;17,7772354567592;3;1;3
1;37,65;17,06;12,6275973159927;14,7241838922156;16,9459922675292;19,2893791539831;21,7510815840621;24,3281526331013;3;1;3
1;47,6;20,72;15,956545859418;18,1366854597194;20,3913377265044;22,716659946452;25,1092873274157;27,5662436600509;3;1;3
1;61,86;23,6;19,7987908526045;21,9801428929936;24,1858353663606;26,4141194636371;28,6634954337581;30,9326619920637;4;1;4
1;72,37;25,2;22,0944802300799;24,2367977157009;26,3783603381079;28,5192299931704;30,6594592023739;32,7990930931752;4;1;4
1;84,99;28,27;24,4025737622089;26,4799476957307;28,5351641063607;30,5702414166563;32,5868759872854;34,5865124999163;4;1;4
2;37,65;17,62;12,6275973159927;14,7241838922156;16,9459922675292;19,2893791539831;21,7510815840621;24,3281526331013;3;1;3
2;47,6;18,96;15,956545859418;18,1366854597194;20,3913377265044;22,716659946452;25,1092873274157;27,5662436600509;4;1;4
2;61,86;23,73;19,7987908526045;21,9801428929936;24,1858353663606;26,4141194636371;28,6634954337581;30,9326619920637;4;1;4
2;72,37;25,73;22,0944802300799;24,2367977157009;26,3783603381079;28,5192299931704;30,6594592023739;32,7990930931752;4;1;4
2;84,99;29,13;24,4025737622089;26,4799476957307;28,5351641063607;30,5702414166563;32,5868759872854;34,5865124999163;3;1;3
3;24,7;14,2;7,3286876618495;9,06834258574923;11,0194763053907;13,1874159226141;15,577189041042;18,1935614658651;2;2;2
3;38,34;19,22;12,8785622554863;14,9845958919788;17,2118401797969;19,5565370013085;22,0153269247743;24,5851812161745;3;2;3
3;48,29;21,62;16,1656789107347;18,3482962263674;20,6024468933798;22,9243534400987;25,310712354513;27,7586050188519;3;2;3
3;62,55;24,27;19,9618322570392;22,1413189122408;24,3432399503193;26,5659664041477;28,8081024030366;31,0684376813078;4;2;4
4;38,34;18,98;12,8785622554863;14,9845958919788;17,2118401797969;19,5565370013085;22,0153269247743;24,5851812161745;3;1;3
4;48,29;20,58;16,1656789107347;18,3482962263674;20,6024468933798;22,9243534400987;25,310712354513;27,7586050188519;4;1;4
4;62,55;23,35;19,9618322570392;22,1413189122408;24,3432399503193;26,5659664041477;28,8081024030366;31,0684376813078;4;1;4
4;73,06;24,7;22,2322446109962;24,3713794836989;26,5083737921359;28,6434042781814;30,7766208254003;32,9081521452085;4;1;4
4;85,68;27,77;24,51700767909;26,590541446943;28,640957059243;30,6703703001144;32,6805585529034;34,67303486931;4;1;4
5;24,77;12,92;7,36010378869868;9,10296506784261;11,056823917442;13,2269028870185;15,6181288785714;18,2351704643089;3;2;3
5;38,4;16,58;12,9002365381135;15,0070599299386;17,2347487528615;19,579535885645;22,0380543938973;24,6072692339571;4;2;4
5;48,36;18,48;16,1867493489797;18,3695996688952;20,6236846684121;22,9452338474518;25,3309502052314;27,7779212146545;4;2;4
5;62,61;21,32;19,9759215019722;22,1552401991591;24,3568294476757;26,5790707161703;28,8205771709118;31,0801464572113;5;2;5
5;73,13;23,1;22,2461391365943;24,3849479580483;26,5214772181365;28,6559152663894;30,788421820448;32,9191340290257;5;2;5
5;85,74;26,1;24,5269062697917;26,6001052102859;28,6501033463619;30,6790248792021;32,6886541933682;34,6805102458441;5;2;5
6;24,77;13,4;7,36010378869868;9,10296506784261;11,056823917442;13,2269028870185;15,6181288785714;18,2351704643089;2;2;2
6;38,4;16,5;12,9002365381135;15,0070599299386;17,2347487528615;19,579535885645;22,0380543938973;24,6072692339571;4;2;4
