"arvore";"cap";"ht";"hi";"dicc";"espcasca"
1077;56,99;26,54;0,1;22,41;1,1975
1077;56,99;26,54;0,7;19,26;0,8505
1077;56,99;26,54;1,3;18,14;0,7425
1077;56,99;26,54;2,5;17,09;0,8085
1077;56,99;26,54;3,7;16,55;0,36
1077;56,99;26,54;4,9;16,39;0,3975
1077;56,99;26,54;6,1;16,07;0,36
1077;56,99;26,54;7,3;14,77;0,2655
1077;56,99;26,54;8,5;14,1;0,277
1077;56,99;26,54;9,7;13,5;0,2845
1077;56,99;26,54;10,9;13,02;0,279
1077;56,99;26,54;12,1;12,22;0,2645
1077;56,99;26,54;13,3;11,81;0,257
1077;56,99;26,54;14,5;11,14;0,26
1077;56,99;26,54;15,7;10,44;0,277
1077;56,99;26,54;16,9;9,64;0,267
1077;56,99;26,54;18,1;9,04;0,2345
1077;56,99;26,54;19,3;8,66;0,246
1077;56,99;26,54;20,5;7,48;0,2505
1077;56,99;26,54;21,7;6,56;0,2595
1077;56,99;26,54;22,9;5,67;0,173
1077;56,99;26,54;24,1;4,3;0,1725
1077;56,99;26,54;25,3;2,16;0,135
1077;56,99;26,54;25,9;0,95;0,092
1148;60;23,3;0,1;23,01;1,1
1078;58,31;26,2;0,1;21,9;1,209
1078;58,31;26,2;0,7;19,35;0,761
1148;60;23,3;0,7;20,21;1,014
1148;60;23,3;1,3;19,1;0,961
1078;58,31;26,2;1,3;18,56;0,7365
1148;60;23,3;2,5;18,27;0,634
1078;58,31;26,2;2,5;17,83;0,6225
1148;60;23,3;3,7;16,97;0,687
1078;58,31;26,2;3,7;17,19;0,6115
1078;58,31;26,2;4,9;16,93;0,671
1148;60;23,3;4,9;16,33;0,646
1148;60;23,3;6,1;15,95;0,538
1078;58,31;26,2;6,1;16,55;0,628
1078;58,31;26,2;7,3;16,49;0,575
1148;60;23,3;7,3;14,96;0,433
1148;60;23,3;8,5;14,42;0,313
1078;58,31;26,2;8,5;15,92;0,626
1148;60;23,3;9,7;13,69;0,349
1078;58,31;26,2;9,7;15,76;0,501
1148;60;23,3;10,9;13,27;0,355
1078;58,31;26,2;10,9;14,26;0,421
1148;60;23,3;12,1;12,41;0,352
1078;58,31;26,2;12,1;13,53;0,4165
1148;60;23,3;13,3;11,24;0,336
1078;58,31;26,2;13,3;12,51;0,364
1078;58,31;26,2;14,5;11,78;0,293
1148;60;23,3;14,5;10,44;0,313
1078;58,31;26,2;15,7;11,2;0,363
1148;60;23,3;15,7;9,61;0,33
1148;60;23,3;16,9;8,4;0,286
1078;58,31;26,2;16,9;10,15;0,3095
1148;60;23,3;18,1;7,32;0,307
1078;58,31;26,2;18,1;9,29;0,3125
1078;58,31;26,2;19,3;8,44;0,295
1148;60;23,3;19,3;5,92;0,255
