"arv";"dap";"ht";"hi";"dicc";"disc"
1;11,14;14,66;0,05;17,63;13,83
1;11,14;14,66;0,15;15,28;12,08
1;11,14;14,66;0,29;13,88;10,78
1;11,14;14,66;0,44;12,74;9,64
1;11,14;14,66;0,59;12;9
1;11,14;14,66;0,73;11,94;9,74
1;11,14;14,66;1,47;10,7;8,9
1;11,14;14,66;2,2;10,22;9,42
1;11,14;14,66;3,66;9,3;9
1;11,14;14,66;5,13;8,75;8,55
1;11,14;14,66;6,6;8,02;7,82
1;11,14;14,66;8,06;7,07;6,87
1;11,14;14,66;9,53;6,4;6,2
1;11,14;14,66;10,99;5,38;5,28
1;11,14;14,66;12,46;3,09;3,09
1;11,14;14,66;13,93;1,27;1,27
3;10,41;6,45;0,03;20,05;13,15
3;10,41;6,45;0,06;18,97;12,47
3;10,41;6,45;0,12;18,46;12,16
3;10,41;6,45;0,19;17,32;11,32
3;10,41;6,45;0,25;15,28;9,28
3;10,41;6,45;0,32;14,13;9,13
3;10,41;6,45;0,64;12,76;8,06
3;10,41;6,45;0,96;12,76;8,16
3;10,41;6,45;1,61;10,92;6,72
3;10,41;6,45;2,25;10,03;6,43
3;10,41;6,45;2,9;7,74;6,14
3;10,41;6,45;3,54;6,18;5,18
3;10,41;6,45;4,19;4,39;3,79
3;10,41;6,45;4,83;3,25;2,85
3;10,41;6,45;5,48;1,27;0,87
3;10,41;6,45;6,12;1,11;1,11
4;11,05;12,52;0,03;17,57;10,07
4;11,05;12,52;0,13;16,55;10,05
4;11,05;12,52;0,25;15,47;8,97
4;11,05;12,52;0,38;14,23;8,53
4;11,05;12,52;0,5;13,85;9,45
4;11,05;12,52;0,63;13,05;8,95
4;11,05;12,52;1,25;11,2;8,9
4;11,05;12,52;1,88;9,93;8,53
4;11,05;12,52;3,13;9,2;8,2
4;11,05;12,52;4,38;8,28;7,48
4;11,05;12,52;5,63;7,58;6,78
4;11,05;12,52;6,89;7,16;6,56
4;11,05;12,52;8,14;5,67;5,47
4;11,05;12,52;9,39;3,66;3,46
4;11,05;12,52;10,64;3,44;3,24
4;11,05;12,52;11,89;1,46;1,26
5;28,17;18,49;0,08;36;29,1
5;28,17;18,49;0,18;35,21;29,31
5;28,17;18,49;0,37;31,77;26,57
5;28,17;18,49;0,55;30,05;26,05
5;28,17;18,49;0,74;29,51;25,51
5;28,17;18,49;0,92;29,48;25,78
5;28,17;18,49;1,85;25,08;21,68
5;28,17;18,49;2,77;22,82;19,72
5;28,17;18,49;4,62;20,82;18,42
5;28,17;18,49;6,47;18,37;16,77
5;28,17;18,49;8,32;16,84;15,54
5;28,17;18,49;10,17;16,65;15,55
5;28,17;18,49;12,02;15,28;14,18
5;28,17;18,49;13,87;10,76;9,96
5;28,17;18,49;15,72;7,23;6,93
5;28,17;18,49;17,57;0,32;0,12
6;20,47;18,3;0,02;30,75;25,75
6;20,47;18,3;0,18;25,21;21,31
6;20,47;18,3;0,37;23,68;20,38
6;20,47;18,3;0,55;22,66;19,66
6;20,47;18,3;0,73;21,93;18,93
6;20,47;18,3;0,92;21,71;19,01
6;20,47;18,3;1,83;19;17
6;20,47;18,3;2,74;18,37;16,57
6;20,47;18,3;4,57;16,46;14,96
