"estrato";"arvore";"dap";"ht";"hi";"dicc";"disc"
557072;12062;12,7;24,3;0,1;14,8;13,4
557072;12062;12,7;24,3;0,7;13,3;12,3
557072;12062;12,7;24,3;1,3;12,7;11,9
557072;12062;12,7;24,3;2;12,1;11,5
557072;12062;12,7;24,3;4;12;11,4
557072;12062;12,7;24,3;6;11,5;10,9
557072;12062;12,7;24,3;8;11;10,4
557072;12062;12,7;24,3;10;10,2;9,6
557072;12062;12,7;24,3;12;9,2;8,6
557072;12062;12,7;24,3;14;8,3;7,9
557072;12062;12,7;24,3;16;7,1;6,7
557072;12062;12,7;24,3;18;6;5,6
557072;12062;12,7;24,3;20;4,7;4,3
557072;12062;12,7;24,3;22;3,3;2,9
557072;37966;20,7;33,6;0,1;27,1;25,3
557072;37966;20,7;33,6;0,7;22,3;21,3
557072;37966;20,7;33,6;1,3;20,7;19,7
557072;37966;20,7;33,6;2;19,3;18,5
557072;37966;20,7;33,6;4;18,75;17,95
557072;37966;20,7;33,6;6;17,9;17,1
557072;37966;20,7;33,6;8;17;16,2
557072;37966;20,7;33,6;10;15,95;15,15
557072;37966;20,7;33,6;12;15,75;14,95
557072;37966;20,7;33,6;14;14,15;13,35
557072;37966;20,7;33,6;16;13,35;12,75
557072;37966;20,7;33,6;18;12,1;11,5
557072;37966;20,7;33,6;20;10,95;10,35
557072;37966;20,7;33,6;22;10,1;9,7
557072;37966;20,7;33,6;24;8,9;8,5
557072;37966;20,7;33,6;26;7,7;7,3
557072;37966;20,7;33,6;28;6,35;5,95
557072;37966;20,7;33,6;30;4,8;4,4
557072;4312;19,2;26,4;0,1;23,7;21,7
557072;4312;19,2;26,4;0,7;21;19,6
557072;4312;19,2;26,4;1,3;19,2;18,2
557072;4312;19,2;26,4;2;19;18
557072;4312;19,2;26,4;4;17,8;17
557072;4312;19,2;26,4;6;15,8;15
557072;4312;19,2;26,4;8;15;14,2
557072;4312;19,2;26,4;10;14,5;13,9
557072;4312;19,2;26,4;12;13,3;12,7
557072;4312;19,2;26,4;14;11,7;11,1
557072;4312;19,2;26,4;16;10,8;10,4
557072;4312;19,2;26,4;18;9,4;9
557072;4312;19,2;26,4;20;8;7,6
557072;4312;19,2;26,4;22;6,3;5,9
557072;4312;19,2;26,4;24;4;3,8
557072;18165;13,7;24,5;0,1;18,4;16,4
557072;18165;13,7;24,5;0,7;15;13,6
557072;18165;13,7;24,5;1,3;13,7;12,5
557072;18165;13,7;24,5;2;12,2;11,2
557072;18165;13,7;24,5;4;12;11,2
557072;18165;13,7;24,5;6;11;10,2
557072;18165;13,7;24,5;8;10,5;9,7
557072;18165;13,7;24,5;10;10,2;9,4
557072;18165;13,7;24,5;12;9,4;8,8
557072;18165;13,7;24,5;14;8;7,6
557072;18165;13,7;24,5;16;7;6,6
557072;18165;13,7;24,5;18;6;5,6
557072;18165;13,7;24,5;20;5;4,6
557072;18165;13,7;24,5;22;3,5;3,1
557072;19697;4,8;9,9;0,1;6,3;5,5
557072;19697;4,8;9,9;0,7;5,2;4,8
557072;19697;4,8;9,9;1,3;4,8;4,4
557072;19697;4,8;9,9;2;4,8;4,4
557072;19697;4,8;9,9;4;4;3,8
557072;19697;4,8;9,9;6;3;2,8
557072;19697;4,8;9,9;8;1,9;1,7
557072;14569;11,6;21,8;0,1;13,9;13,3
557072;14569;11,6;21,8;0,7;12,3;11,7
557072;14569;11,6;21,8;1,3;11,6;11,2
557072;14569;11,6;21,8;2;11,3;10,9
557072;14569;11,6;21,8;4;10,2;9,8
557072;14569;11,6;21,8;6;9,5;9,1
557072;14569;11,6;21,8;8;9;8,6
557072;14569;11,6;21,8;10;7,9;7,5
557072;14569;11,6;21,8;12;7;6,6
557072;14569;11,6;21,8;14;5,9;5,5
557072;14569;11,6;21,8;16;4,5;4,1
557072;14569;11,6;21,8;18;3;2,8
557072;14569;11,6;21,8;20;1,9;1,7
557072;14573;23,8;31,3;0,1;30,5;28,5
557072;14573;23,8;31,3;0,7;25,5;23,9
557072;14573;23,8;31,3;1,3;23,8;22,4
557072;14573;23,8;31,3;2;23,5;22,5
557072;14573;23,8;31,3;4;22,4;21,4
557072;14573;23,8;31,3;6;20,6;19,8
557072;14573;23,8;31,3;8;19,3;18,5
557072;14573;23,8;31,3;10;18,3;17,5
557072;14573;23,8;31,3;12;16,3;15,5
