"estrato";"parcela";"idade";"hd";"ab";"vtcc"
557072;1;20,76;12,55;11,47;59,61
557072;1;32,33;18,26;19,82;149,06
557072;1;45,57;24,2;27,12;272,98
557072;1;70,66;30,6;32,2;425,96
557072;2;20,76;11,32;10,99;50,36
557072;2;32,33;16,7;18,69;123,33
557072;2;45,57;24,15;25,63;246,33
557072;2;70,66;30,67;30,45;383,61
557072;3;20,76;11,13;11,97;55,29
557072;3;32,33;17,32;20,85;134
557072;3;45,57;23,97;27,67;243,25
557072;3;70,66;29,98;32,25;389,37
557072;4;20,5;11,13;9,82;46,49
557072;4;32,06;17;18,43;130,11
557072;4;45,3;23,72;25,48;251,77
557072;4;70,4;29,3;29,59;372,28
557072;5;22,47;12,84;8,18;42,81
557072;5;34,33;17,46;13,65;99,75
557072;5;47,83;21,32;21,03;195,86
557072;5;58,71;26,52;24,43;257,29
557072;5;70,76;28,75;26,71;312,91
557072;5;81,57;29,45;28,79;359,22
557072;6;22,47;13,2;10,41;61,8
557072;6;34,33;18,4;17,14;138,03
557072;6;47,83;24,08;23,02;238,31
557072;6;58,71;26,6;26,3;309,69
557072;6;70,76;28,85;29,5;377,89
557072;6;81,57;30,35;31,95;428,67
557072;7;22,47;12,84;10,22;59,22
557072;7;34,33;17,46;17,61;135,85
557072;7;47,83;24,1;25,16;284,22
557072;7;58,71;25,8;27,47;310,75
557072;7;70,76;28,47;29,47;364,2
557072;7;81,57;29,13;31,62;399,25
557072;10;23,46;14,86;14,55;88,6
557072;10;35,32;20,46;23,85;209,56
557072;10;48,82;24,06;32,48;318,9
557072;10;59,69;27,8;36,45;420,72
557072;10;71,75;29,83;39,97;508,34
557072;10;82,56;31;41,18;538,13
557072;11;23,46;13,88;8,91;53,5
557072;11;35,32;19,3;15,58;128,04
557072;11;48,82;25,42;23,88;264,76
557072;11;59,69;28,13;27,24;338,16
557072;11;71,75;30,73;29,73;410,84
557072;11;82,56;31,8;32,21;448,94
557072;12;23,46;11,9;7,88;39,59
557072;12;35,32;17,1;14,28;105,74
557072;12;48,82;24,36;21,96;228,22
557072;12;59,69;26,63;25,58;295,04
557072;12;71,75;29,13;27,98;369,98
557072;12;82,56;30,7;30,04;403,18
557072;13;23,39;12,12;8,09;43,3
557072;13;35,41;16,26;14,25;103,32
557072;13;48,92;21,56;20,24;188,89
557072;13;60,02;24,17;22,67;247,12
557072;13;72,37;26,88;25,1;291,72
557072;13;83,87;28,3;26,36;315,56
557072;14;23,39;12,82;11,16;66,56
557072;14;35,41;18,46;18,65;160,85
557072;14;48,92;23,92;26,3;278,07
557072;14;60,02;25,23;29,68;335,53
557072;14;72,37;27,93;34,41;405,97
557072;14;83,87;30,3;36,78;471,98
557072;16;24,87;15,9;11,84;82,25
557072;16;38,14;19,16;19,63;140,42
557072;16;48,69;25,24;22,78;236,61
557072;16;61,33;25,63;25,25;264,45
557072;16;70,37;26,73;27,07;285,94
557072;17;24,87;12,92;9,78;48,46
557072;17;38,14;21,36;20,64;169,14
557072;17;48,69;24,32;25,86;273,88
557072;17;61,33;27,23;31,06;360,47
557072;17;70,37;29,93;33,74;411,37
557072;19;25,76;14,1;12,12;64,76
557072;19;39,03;23,02;20,07;181,76
557072;19;49,57;26,08;23,47;256,59
557072;19;62,22;27,52;26,05;289,21
557072;19;71,25;28,95;27,19;315,91
557072;20;27,86;16,06;14,47;96,44
557072;20;41,13;21,46;23,19;199,59
557072;20;51,68;26,7;27,32;321,55
557072;20;64,32;28,18;31,28;370,28
557072;20;73,36;30,05;32,57;392,56
557072;21;27,86;13,8;11,18;67,19
557072;21;41,13;21,86;19,97;188
557072;21;51,68;25,5;24,22;265,05
557072;21;64,32;28,48;28,24;332,31
557072;21;73,36;29,98;29,76;367,98
557072;22;27,73;13,16;11;57
557072;22;41;19,62;19,09;144,29
557072;22;51,54;25,42;23,73;262,57
557072;22;64,19;27,18;28,33;326,61
557072;22;73,23;30,02;31,35;383,47
557072;23;27,73;11,86;8,81;46,35
557072;23;41;17,12;16,14;117,41
557072;23;51,54;22,76;20,29;207,8
557072;23;64,19;24,93;23,48;247,05
557072;23;73,23;27,15;25,85;284,1
557072;24;28,78;15,88;14,73;101,4
557072;24;42,05;22;22,75;219,83
557072;24;52,6;24,7;26,93;290,98
557072;24;65,24;27,8;30,39;358,92
557072;24;74,28;29,45;32,98;399,45
557072;25;27,69;13,84;11,98;74,56
557072;25;40,97;22,12;20,67;192,94
557072;25;51,51;24,3;25,42;280,58
557072;25;64,16;27,68;29,16;347,81
557072;25;73,19;28,27;31,36;376,98
557072;26;28,75;13,56;12,38;73,96
557072;26;42,02;20,16;20,75;160,54
557072;26;52,56;24,5;24,72;273,07
