"parcela";"idade";"ab";"vtcc";"vtsc";"s";"max_id";"vtcc2";"vtcc3";"vtcc4";"vtcc5";"vtcc6";"vtcc7";"vtcc8";"vtcc9";"vtcc10";"ima2";"ima3";"ima4";"ima5";"ima6";"ima7";"ima8";"ima9";"ima10";"ica3";"ica4";"ica5";"ica6";"ica7";"ica8";"ica9";"ica10"
1;84,99;25,508789;297,0619855;264,3502467;25,7;84,99;27,7890110113906;82,0930919498019;141,098817596812;195,278050645031;242,515854310765;283,103295258353;317,94244975789;347,97761701499;374,036121077426;13,8945055056953;27,3643639832673;35,2747043992029;39,0556101290063;40,4193090517941;40,4433278940504;39,7428062197363;38,6641796683322;37,4036121077426;54,3040809384113;59,0057256470099;54,1792330482195;47,2378036657333;40,587440947588;34,8391544995375;30,0351672570998;26,0585040624365
2;84,99;25,9763838;307,0705041;273,2544456;25,7;84,99;30,0646435093425;86,5157662068198;146,762417948404;201,523927339053;248,962799110762;289,541944492475;324,260656838307;354,11761025546;379,970725483655;15,0323217546713;28,8385887356066;36,6906044871011;40,3047854678107;41,4937998517936;41,3631349274965;40,5325821047884;39,3464011394956;37,9970725483655;56,4511226974773;60,2466517415846;54,7615093906489;47,4388717717083;40,5791453817136;34,7187123458316;29,8569534171534;25,8531152281952
3;62,55;24,0761581;271,0756528;227,9972377;25,7;62,55;44,4517319422482;112,283776348608;178,456007426389;235,645781488736;283,625538988761;323,768873894121;357,562870517007;386,26744665529;410,881572062157;22,2258659711241;37,4279254495358;44,6140018565972;47,1291562977472;47,2709231647935;46,2526962705887;44,6953588146258;42,9186051839211;41,0881572062157;67,8320444063593;66,1722310777812;57,189774062347;47,9797575000254;40,14333490536;33,7939966228855;28,7045761382835;24,6141254068668
4;85,68;28,1054325;320,3223399;285,0537529;25,7;85,68;41,5952417505699;107,420455056934;172,62697302334;229,467749252306;277,415244605009;317,682766779497;351,674725091922;380,608165411129;405,459664700816;20,7976208752849;35,8068183523114;43,1567432558349;45,8935498504612;46,2358741008349;45,383252397071;43,9593406364902;42,2897961567922;40,5459664700816;65,8252133063644;65,2065179664053;56,8407762289666;47,947495352703;40,2675221744877;33,9919583124248;28,9334403192076;24,8514992896864
5;85,74;22,74301546;250,2826072;222,7243601;23,4;85,74;16,1374131971997;55,3377997236432;102,474514935471;148,310623833184;189,762264920219;226,289956666011;258,230090396917;286,157968901697;310,659788669125;8,06870659859983;18,4459332412144;25,6186287338676;29,6621247666367;31,6270441533698;32,327136666573;32,2787612996147;31,7953298779663;31,0659788669125;39,2003865264435;47,1367152118274;45,8361088977131;41,4516410870352;36,527691745792;31,9401337309065;27,9278785047794;24,5018197674279
6;85,74;24,59349704;270,6876486;240,8809669;23,4;85,74;22,716275909572;69,5062776817042;121,581494951575;170,048790758652;212,672299649718;249,513914378094;281,275983047964;308,749710614368;332,648588989218;11,358137954786;23,1687592272347;30,3953737378938;34,0097581517304;35,445383274953;35,6448449111563;35,1594978809955;34,3055234015964;33,2648588989218;46,7900017721322;52,0752172698708;48,4672958070768;42,6235088910665;36,8416147283762;31,7620686698698;27,4737275664035;23,8988783748507
7;85,74;24,68303647;274,0603005;243,8855123;23,4;85,74;23,0800297904244;70,246310302201;122,551066251166;171,132793635341;213,801461951335;250,649001041399;282,395296357241;309,841596295706;333,70716514095;11,5400148952122;23,4154367674003;30,6377665627915;34,2265587270682;35,6335769918892;35,8070001487713;35,2994120446551;34,4268440328562;33,370716514095;47,1662805117766;52,3047559489651;48,5817273841748;42,6686683159943;36,8475390900642;31,7462953158416;27,4462999384651;23,8655688452444
8;85,74;28,58297613;341,5033897;303,9067775;25,7;85,74;44,7093686412774;112,717213513165;178,972414639959;236,191143945473;284,172436522453;324,303917476953;358,079845708457;386,763830921103;411,35675537218;22,3546843206387;37,5724045043882;44,7431036599898;47,2382287890946;47,3620727537421;46,3291310681361;44,7599807135571;42,9737589912337;41,135675537218;68,0078448718871;66,2552011267947;57,2187293055136;47,9812925769797;40,1314809545001;33,7759282315044;28,6839852126461;24,5929244510772
9;85,71;26,3245927;287,6205499;255,9534378;23,4;85,71;30,6068707840554;84,7901156813546;141,126436857956;191,587101017042;234,89378473159;271,699955991213;303,042192872865;329,898462457699;353,087257470762;15,3034353920277;28,2633718937849;35,2816092144891;38,3174202034084;39,1489641219317;38,8142794273162;37,8802741091081;36,6553847175221;35,3087257470762;54,1832448972992;56,3363211766018;50,4606641590858;43,3066837145479;36,806171259623;31,3422368816518;26,8562695848341;23,1887950130626
10;86,14;28,74215734;352,5764327;313,7561149;28;86,14;45,720486591328;117,654928747066;188,738181299224;250,616436349385;302,767605738972;346,539034422128;383,472501786058;414,899107174062;441,88485709109;22,860243295664;39,2183095823553;47,1845453248059;50,1232872698771;50,4612676231621;49,5055763460183;47,9340627232573;46,099900797118;44,188485709109;71,9344421557379;71,0832525521576;61,8782550501617;52,1511693895871;43,7714286831556;36,9334673639304;31,4266053880037;26,9857499170278
11;78,94;26,9812152;280,0693912;246,0742539;23,4;78,94;40,4809218737407;102,164387864714;162,302088636445;214,25889048276;257,839042804567;294,29594090451;324,983241373444;351,046834532496;373,394861828105;20,2404609368704;34,0547959549047;40,5755221591112;42,851778096552;42,9731738007612;42,0422772720728;40,6229051716805;39,005203836944;37,3394861828105;61,6834659909735;60,1377007717307;51,956801846315;43,580152321807;36,4568980999428;30,6873004689338;26,0635931590528;22,3480272956083
