"";"idamostra";"idade1";"hdom1";"licl4";"lscl4";"lscl3";"lscl2";"lscl1";"is";"nmudou";"nis"
"1";1;24,01;11,5406377684884;5,19417688254228;7,65065958031987;10,8819207163783;15,0331564499758;20,2613883389293;2;1;2
"2";1;37,65;16,9726965802079;10,4282596073228;13,3778092873554;16,7802123100422;20,6569303604056;25,0285400339007;2;1;2
"3";1;47,6;20,6139667726792;14,2458688119056;17,1792387974719;20,3695602812647;23,8142751826937;27,5110600712946;2;1;2
"4";1;61,86;23,4792285634764;19,1984963524907;21,821944063859;24,5188658777761;27,2847100660807;30,1155513660696;3;1;3
"5";1;72,37;25,0710406694748;22,3219705671744;24,6252317027778;26,9265002931893;29,2259500919566;31,5237270570181;3;1;3
"6";1;84,99;28,1253301478592;25,4597760464628;27,3638996491297;29,2196503835971;31,0322861727626;32,806123717326;3;1;3
"7";2;37,65;17,5298308173073;10,4282596073228;13,3778092873554;16,7802123100422;20,6569303604056;25,0285400339007;2;1;2
"8";2;47,6;18,862973456081;14,2458688119056;17,1792387974719;20,3695602812647;23,8142751826937;27,5110600712946;3;1;3
"9";2;61,86;23,6085632970887;19,1984963524907;21,821944063859;24,5188658777761;27,2847100660807;30,1155513660696;3;1;3
"10";2;72,37;25,5983284295867;22,3219705671744;24,6252317027778;26,9265002931893;29,2259500919566;31,5237270570181;3;1;3
"11";2;84,99;28,9809291548333;25,4597760464628;27,3638996491297;29,2196503835971;31,0322861727626;32,806123717326;3;1;3
"12";3;24,7;14,1273324407358;5,44505762697105;7,94553868937598;11,2056023658099;15,3599843468497;20,553214043658;2;1;2
"13";3;38,34;19,1216429233057;10,6981046451918;13,6546456599166;17,0487202648573;20,8989573282157;25,2231385863229;2;1;2
"14";3;48,29;21,5093610823033;14,5020185122703;17,4264562647323;20,5963809368175;24,0085673185645;27,6600950956029;2;1;2
"15";3;62,55;24,1457998828632;19,4179294449203;22,0216899368814;24,6926316319059;27,4264631753982;30,2194911541806;3;1;3
"16";4;38,34;18,882871107406;10,6981046451918;13,6546456599166;17,0487202648573;20,8989573282157;25,2231385863229;2;2;2
"17";4;48,29;20,4746832134044;14,5020185122703;17,4264562647323;20,5963809368175;24,0085673185645;27,6600950956029;3;2;3
