idamostra;idade1;hdom1;licl4;lscl4;lscl3;lscl2;lscl1;is;nmudou;nis;s
1;24,01;11,54063777;5,194176883;7,65065958;10,88192072;15,03315645;20,26138834;2;1;2;28
1;37,65;16,97269658;10,42825961;13,37780929;16,78021231;20,65693036;25,02854003;2;1;2;28
1;47,6;20,61396677;14,24586881;17,1792388;20,36956028;23,81427518;27,51106007;2;1;2;28
1;61,86;23,47922856;19,19849635;21,82194406;24,51886588;27,28471007;30,11555137;3;1;3;25,7
1;72,37;25,07104067;22,32197057;24,6252317;26,92650029;29,22595009;31,52372706;3;1;3;25,7
1;84,99;28,12533015;25,45977605;27,36389965;29,21965038;31,03228617;32,80612372;3;1;3;25,7
2;37,65;17,52983082;10,42825961;13,37780929;16,78021231;20,65693036;25,02854003;2;1;2;28
2;47,6;18,86297346;14,24586881;17,1792388;20,36956028;23,81427518;27,51106007;3;1;3;25,7
2;61,86;23,6085633;19,19849635;21,82194406;24,51886588;27,28471007;30,11555137;3;1;3;25,7
2;72,37;25,59832843;22,32197057;24,6252317;26,92650029;29,22595009;31,52372706;3;1;3;25,7
2;84,99;28,98092915;25,45977605;27,36389965;29,21965038;31,03228617;32,80612372;3;1;3;25,7
3;24,7;14,12733244;5,445057627;7,945538689;11,20560237;15,35998435;20,55321404;2;1;2;28
3;38,34;19,12164292;10,69810465;13,65464566;17,04872026;20,89895733;25,22313859;2;1;2;28
3;48,29;21,50936108;14,50201851;17,42645626;20,59638094;24,00856732;27,6600951;2;1;2;28
3;62,55;24,14579988;19,41792944;22,02168994;24,69263163;27,42646318;30,21949115;3;1;3;25,7
4;38,34;18,88287111;10,69810465;13,65464566;17,04872026;20,89895733;25,22313859;2;2;3;25,7
4;48,29;20,47468321;14,50201851;17,42645626;20,59638094;24,00856732;27,6600951;3;2;3;25,7
4;62,55;23,23050792;19,41792944;22,02168994;24,69263163;27,42646318;30,21949115;3;2;3;25,7
4;73,06;24,57359939;22,5105812;24,79191453;27,06765186;29,33828897;31,60424168;4;2;3;25,7
4;85,68;27,62788886;25,61288999;27,49576156;29,32872069;31,11724097;32,86581145;3;2;3;25,7
5;24,77;12,85388276;5,47065417;7,975470963;11,23830577;15,39286482;20,58245735;2;2;4;23,4
5;38,4;16,49515295;10,72155162;13,67863431;17,07192927;20,91982955;25,23988515;3;2;4;23,4
5;48,36;18,38542982;14,52792473;17,45141068;20,6192361;24,02811313;27,67506562;3;2;4;23,4
5;62,61;21,21089631;19,43691632;22,03895224;24,70763202;27,43868758;30,2284462;4;2;4;23,4
5;73,13;22,98178728;22,52960297;24,80870943;27,08186238;29,3495901;31,61233562;4;2;4;23,4
5;85,74;25,96643498;25,62611741;27,50714568;29,3381316;31,12456718;32,87095616;4;2;4;23,4
6;24,77;13,33142639;5,47065417;7,975470963;11,23830577;15,39286482;20,58245735;2;2;4;23,4
6;38,4;16,41556234;10,72155162;13,67863431;17,07192927;20,91982955;25,23988515;3;2;4;23,4
6;48,36;19,95734428;14,52792473;17,45141068;20,6192361;24,02811313;27,67506562;3;2;4;23,4
6;62,61;21,80782585;19,43691632;22,03895224;24,70763202;27,43868758;30,2284462;4;2;4;23,4
6;73,13;23,6881539;22,52960297;24,80870943;27,08186238;29,3495901;31,61233562;4;2;4;23,4
6;85,74;25,78735612;25,62611741;27,50714568;29,3381316;31,12456718;32,87095616;4;2;4;23,4
7;38,4;17,27116135;10,72155162;13,67863431;17,07192927;20,91982955;25,23988515;2;2;4;23,4
7;48,36;18,26604392;14,52792473;17,45141068;20,6192361;24,02811313;27,67506562;3;2;4;23,4
7;62,61;21,02186862;19,43691632;22,03895224;24,70763202;27,43868758;30,2284462;4;2;4;23,4
7;73,13;23,11112201;22,52960297;24,80870943;27,08186238;29,3495901;31,61233562;4;2;4;23,4
7;85,74;26,41413213;25,62611741;27,50714568;29,3381316;31,12456718;32,87095616;4;2;4;23,4
8;38,4;20,19611609;10,72155162;13,67863431;17,07192927;20,91982955;25,23988515;2;1;2;28
8;48,36;23,65830743;14,52792473;17,45141068;20,6192361;24,02811313;27,67506562;2;1;2;28
8;62,61;25,25011953;19,43691632;22,03895224;24,70763202;27,43868758;30,2284462;2;1;2;28
8;73,13;26,41413213;22,52960297;24,80870943;27,08186238;29,3495901;31,61233562;3;1;3;25,7
8;85,74;29,32913805;25,62611741;27,50714568;29,3381316;31,12456718;32,87095616;3;1;3;25,7
9;24,74;11,85900019;5,459681048;7,96264254;11,22429308;15,37877938;20,56993258;2;2;4;23,4
9;38,37;17,50993317;10,70982852;13,66664168;17,06032756;20,90939689;25,23151534;2;2;4;23,4
9;48,32;19,32061944;14,513123;17,43715385;20,60617951;24,0169478;27,66651437;3;2;4;23,4
9;62,58;21,83767233;19,42742477;22,03032322;24,70013401;27,43257741;30,22397033;4;2;4;23,4
9;73,09;22,51419247;22,51873593;24,79911493;27,07374454;29,34313445;31,60771217;4;2;4;23,4
9;85,71;26,13556502;25,61950543;27,50145525;29,33342761;31,12090529;32,86838471;4;2;4;23,4
10;25,16;15,44057743;5,613730383;8,142275686;11,42005131;15,57513302;20,74418557;2;1;2;28
10;38,8;19,79816307;10,87778137;13,83820909;17,22608572;21,05827383;25,35082279;2;1;2;28
10;48,75;23,59861447;14,6719845;17,59001725;20,7460492;24,13645954;27,75797641;2;1;2;28
10;63,01;27,58809356;19,56310911;22,15359822;24,80718871;27,51977028;30,2878099;1;1;1;30,3
10;73,52;29,24954745;22,6352021;24,90189508;27,16066948;29,41223401;31,65718261;2;1;2;28
10;86,14;30,29417414;25,71394654;27,58270595;29,40057284;31,17316061;32,90506981;2;1;2;28
11;29,47;15,42067978;7,238114412;9,982474071;13,37375481;17,48869441;22,4056631;2;2;4;23,4
11;41,56;19,55939125;11,95048477;14,92201832;18,26280265;21,98094584;26,08404019;2;2;4;23,4
11;55,81;22,00680237;17,19087647;19,97257605;22,89247611;25,94463149;29,12381583;3;2;4;23,4
11;66,33;22,64352721;20,5844018;23,07614574;25,60415897;28,16576811;30,7586955;4;2;4;23,4
11;78,94;25,28991483;24,03681447;26,13076456;28,19383325;30,22908886;32,23907583;4;2;4;23,4
12;29,47;15,87832576;7,238114412;9,982474071;13,37375481;17,48869441;22,4056631;2;1;2;28
12;41,56;20,01703723;11,95048477;14,92201832;18,26280265;21,98094584;26,08404019;2;1;2;28
12;55,81;22,06649532;17,19087647;19,97257605;22,89247611;25,94463149;29,12381583;3;1;3;25,7
12;66,33;24,99145006;20,5844018;23,07614574;25,60415897;28,16576811;30,7586955;3;1;3;25,7
12;78,94;27,61794004;24,03681447;26,13076456;28,19383325;30,22908886;32,23907583;3;1;3;25,7
13;41,56;21,90731411;11,95048477;14,92201832;18,26280265;21,98094584;26,08404019;2;1;2;28
13;55,81;26,34449035;17,19087647;19,97257605;22,89247611;25,94463149;29,12381583;1;1;1;30,3
13;66,33;28,89138972;20,5844018;23,07614574;25,60415897;28,16576811;30,7586955;1;1;1;30,3
13;78,94;31,06023372;24,03681447;26,13076456;28,19383325;30,22908886;32,23907583;1;1;1;30,3
14;41,56;20,75325033;11,95048477;14,92201832;18,26280265;21,98094584;26,08404019;2;1;2;28
14;55,81;22,40475539;17,19087647;19,97257605;22,89247611;25,94463149;29,12381583;3;1;3;25,7
14;66,33;25,23022188;20,5844018;23,07614574;25,60415897;28,16576811;30,7586955;3;1;3;25,7
14;78,94;27,95620011;24,03681447;26,13076456;28,19383325;30,22908886;32,23907583;3;1;3;25,7
15;25,53;14,34620661;5,750177139;8,300567865;11,59174867;15,74661594;20,89576581;2;2;4;23,4
15;37,61;16,67423181;10,41260604;13,36170689;16,76455608;20,64278652;25,0171443;3;2;4;23,4
15;51,87;19,79816307;15,8067847;18,67268039;21,72902787;24,9704214;28,39203897;3;2;4;23,4
15;62,39;21,50936108;19,36722394;21,97557359;24,65254504;27,39378532;30,19554627;4;2;4;23,4
15;75;24,97155241;23,03010186;25,2496137;27,45415209;29,64509984;31,82361223;4;2;4;23,4
16;34,26;16,21658583;9,100110731;11,99359202;15,41816815;19,41284042;24,01589409;2;1;2;28
16;48,55;20,315502;14,59816616;17,51902708;20,68112749;24,08101391;27,71556292;3;1;3;25,7
16;62,19;22,5241413;19,30369121;21,91775716;24,60226141;27,35277501;30,16548219;3;1;3;25,7
17;48,55;19,24102883;14,59816616;17,51902708;20,68112749;24,08101391;27,71556292;3;1;3;25,7
17;62,19;21,76803055;19,30369121;21,91775716;24,60226141;27,35277501;30,16548219;4;1;4;23,4
18;55,62;19,08184762;17,12546595;19,91162416;22,83831092;25,89957369;29,09017611;4;0;4;23,4
18;69,25;22,04659767;21,44385486;23,8454799;26,26329888;28,69600749;31,14250236;4;0;4;23,4
19;40,37;19,77826542;11,48927839;14,45850608;17,82157732;21,59000919;25,77465998;2;1;2;28
19;54,66;23,06137789;16,79285823;19,60096941;22,5616634;25,66899622;28,91772118;2;1;2;28
19;68,3;26,02612793;21,16823434;23,5994374;26,05302548;28,52724386;31,02060485;3;1;3;25,7
20;40,37;18,64409929;11,48927839;14,45850608;17,82157732;21,59000919;25,77465998;2;2;3;25,7
20;54,66;20,81294329;16,79285823;19,60096941;22,5616634;25,66899622;28,91772118;3;2;3;25,7
20;68,3;23,10117319;21,16823434;23,5994374;26,05302548;28,52724386;31,02060485;4;2;3;25,7
21;54,66;22,30526714;16,79285823;19,60096941;22,5616634;25,66899622;28,91772118;3;0;3;25,7
21;68,3;24,69298529;21,16823434;23,5994374;26,05302548;28,52724386;31,02060485;3;0;3;25,7
