talhao;area;distkm;parcela;idade;ncovas;nfustes;dapmed;htmed;hdom;ab;vtsc;vtcc;s
1;69,04;179,73;1;24,01;1385,244639;1362,153414;9,142970784;10,92381058;11,54063777;9,202663738;36,27341837;45,44623563;28
1;69,04;179,73;1;37,65;1385,244639;1362,153414;12,00823257;16,21658583;16,97269658;15,83853045;94,46409967;118,6894902;28
1;69,04;179,73;1;47,6;1385,244639;1362,153414;12,80413863;19,31067061;20,61396677;18,00737445;139,5223311;163,439308;28
1;69,04;179,73;1;61,86;1385,244639;1362,153414;13,9582024;22,18588123;23,47922856;21,44966813;198,6283044;236,1652236;25,7
1;69,04;179,73;1;72,37;1385,244639;1362,153414;14,44569486;23,87718159;25,07104067;23,05142906;218,9935505;249,2379805;25,7
1;69,04;179,73;1;84,99;1385,244639;1362,153414;15,16201031;25,53863548;28,12533015;25,508789;264,3502467;297,0619855;25,7
1;69,04;179,73;2;37,65;1408,713919;1338,276233;11,99828375;15,95791636;17,52983082;15,48037273;90,93226656;114,6801134;28
1;69,04;179,73;2;47,6;1408,713919;1338,276233;12,93347336;18,22624861;18,86297346;18,0272721;127,4743032;151,3713825;25,7
1;69,04;179,73;2;61,86;1408,713919;1338,276233;14,33625778;22,00680237;23,6085633;22,26547183;204,4981115;243,1393504;25,7
1;69,04;179,73;2;72,37;1408,713919;1338,276233;14,73421081;23,43943326;25,59832843;23,56876799;220,5853626;251,0586156;25,7
1;69,04;179,73;2;84,99;1408,713919;1338,276233;15,4306286;25,94653733;28,98092915;25,9763838;273,2544456;307,0705041;25,7
2;56,78;119,68;3;24,7;1376,240952;1330,366916;10,90391293;12,82403628;14,12733244;12,63500859;57,32513347;71,03461523;28
2;56,78;119,68;3;38,34;1376,240952;1330,366916;13,02301279;18,18645331;19,12164292;18,09691388;121,893012;149,2622314;28
2;56,78;119,68;3;48,29;1376,240952;1330,366916;13,80897002;20,77314798;21,50936108;20,35529731;168,9012133;196,2306374;28
2;56,78;119,68;3;62,55;1376,240952;1330,366916;14,98293145;22,71316899;24,14579988;24,0761581;227,9972377;271,0756528;25,7
2;56,78;119,68;4;38,34;1345,648313;1323,22366;12,91357571;18,43517395;18,88287111;17,77855146;122,290965;148,8244831;25,7
2;56,78;119,68;4;48,29;1345,648313;1323,22366;13,70948176;19,52954478;20,47468321;20,06678136;153,281557;180,2528234;25,7
2;56,78;119,68;4;62,55;1345,648313;1323,22366;14,87349437;21,58895169;23,23050792;23,71800038;214,5762719;255,1276853;25,7
2;56,78;119,68;4;73,06;1345,648313;1323,22366;15,42067978;22,60373191;24,57359939;25,5485843;229,7979752;261,5446778;25,7
2;56,78;119,68;4;85,68;1345,648313;1323,22366;16,1270464;24,97155241;27,62788886;28,1054325;285,0537529;320,3223399;25,7
3;39,14;77,1;5;24,77;1316,070454;1272,196133;9,133021958;11,47099599;12,85388276;8,506245941;35,91526064;44,7000737;23,4
3;39,14;77,1;5;38,4;1316,070454;1272,196133;11,41130303;15,351038;16,49515295;13,27173343;75,18327553;95,21026159;23,4
3;39,14;77,1;5;48,36;1316,070454;1272,196133;12,30669734;17,32090548;18,38542982;15,4306286;104,1244094;124,3105767;23,4
3;39,14;77,1;5;62,61;1316,070454;1272,196133;13,50055642;20,15632079;21,21089631;18,59435516;155,5996334;184,9984132;23,4
3;39,14;77,1;5;73,13;1316,070454;1272,196133;14,04774184;21,66854229;22,98178728;20,18616727;172,8707947;196,7479763;23,4
3;39,14;77,1;5;85,74;1316,070454;1272,196133;14,89339202;24,45421348;25,96643498;22,74301546;222,7243601;250,2826072;23,4
3;39,14;77,1;6;24,77;1317,144927;1273,240759;9,739900324;12,7543945;13,33142639;9,630463241;45,14777086;55,67362841;23,4
3;39,14;77,1;6;38,4;1317,144927;1273,240759;11,94853962;16,30612526;16,41556234;14,52528547;86,99253159;108,9495898;23,4
3;39,14;77,1;6;48,36;1317,144927;1273,240759;12,88372923;18,88287111;19,95734428;16,88315715;125,9720305;148,3668371;23,4
3;39,14;77,1;6;62,61;1317,144927;1273,240759;13,86866297;20,60401795;21,80782585;19,58923773;167,3491965;198,9665644;23,4
3;39,14;77,1;6;73,13;1317,144927;1273,240759;14,62477372;22,62362956;23,6881539;21,8277235;194,6388253;221,5205522;23,4
3;39,14;77,1;6;85,74;1317,144927;1273,240759;15,51021921;24,50395761;25,78735612;24,59349704;240,8809669;270,6876486;23,4
3;39,14;77,1;7;38,4;1337,211708;1292,631021;12,26690204;16,05740462;17,27116135;15,51021921;90,41492762;114,3915975;23,4
3;39,14;77,1;7;48,36;1337,211708;1292,631021;13,02301279;17,12192897;18,26604392;17,48008669;113,506152;136,4381951;23,4
